日期,代码,名称,涨跌幅%,"主力净流入(亿,新浪口径)","特大单净(亿,新浪口径)","10:30主力净(亿,分笔重构)","10:30特大单净(亿,分笔重构)","全天主力净(亿,分笔重构)","全天特大单净(亿,分笔重构)",所属板块(通达信),板块涨跌%
2026-07-02,000725,京东方A,3.76,23.99,23.94,0.8,0.8,23.02,22.97,元器件,-5.86
2026-07-03,000725,京东方A,-7.91,-16.87,-17.13,-9.37,-9.38,-4.31,-4.57,元器件,1.0
2026-07-06,000725,京东方A,-7.4,14.59,14.44,10.6,10.62,10.35,10.19,元器件,-3.52
2026-07-07,000725,京东方A,-2.32,15.61,14.7,10.46,10.41,16.77,15.87,元器件,-1.86
2026-07-08,000725,京东方A,0.66,19.99,18.81,1.19,1.2,17.53,16.35,元器件,-2.9
2026-07-09,000725,京东方A,6.82,27.4,27.18,10.34,10.3,36.94,36.72,元器件,5.43
2026-07-10,000725,京东方A,-6.87,0.17,-0.45,1.18,1.19,6.07,5.44,元器件,-3.4
2026-07-13,000725,京东方A,-10.01,-15.98,-16.03,-9.59,-9.58,-1.44,-2.49,元器件,-7.34
2026-07-14,000725,京东方A,2.78,19.57,18.4,5.62,5.62,16.91,15.75,元器件,4.62
2026-07-15,000725,京东方A,-9.12,-0.37,-0.09,-2.93,-2.96,2.71,2.98,元器件,-3.45
2026-07-16,000725,京东方A,-5.17,5.68,5.96,5.0,4.75,-2.08,-1.81,元器件,-2.16
2026-07-17,000725,京东方A,0.33,20.06,19.31,5.25,5.23,18.01,17.26,元器件,-8.23
2026-06-05,601138,工业富联,-5.72,-15.12,-15.48,0.85,0.84,-13.09,-13.46,通信设备,-3.42
2026-06-08,601138,工业富联,-4.83,2.59,3.3,0.25,0.25,0.22,0.89,通信设备,-3.81
2026-06-09,601138,工业富联,6.04,5.55,5.35,-1.63,-1.7,7.9,7.61,通信设备,5.08
2026-06-10,601138,工业富联,-4.83,-16.02,-17.27,-10.7,-10.88,-16.8,-18.03,通信设备,-3.57
2026-06-11,601138,工业富联,-2.26,-0.92,-1.47,0.32,0.12,-1.69,-2.32,通信设备,-1.82
2026-06-12,601138,工业富联,0.88,-2.61,-2.75,-1.11,-0.92,-3.99,-4.05,通信设备,-0.3
2026-06-15,601138,工业富联,4.66,10.18,9.52,4.89,4.7,11.39,10.65,通信设备,6.09
2026-06-16,601138,工业富联,-0.68,-4.83,-5.5,-4.02,-4.07,-2.47,-3.21,通信设备,1.95
2026-06-17,601138,工业富联,-0.36,1.61,1.24,-0.32,-0.32,2.4,1.95,通信设备,1.28
2026-06-18,601138,工业富联,7.49,108.71,108.28,17.41,17.32,-2.25,-2.32,通信设备,4.41
2026-06-22,601138,工业富联,1.02,-12.17,-13.38,-14.43,-14.45,-15.86,-17.14,通信设备,1.59
2026-06-23,601138,工业富联,-6.06,-34.46,-35.22,-11.28,-11.3,-32.44,-33.23,通信设备,-3.4
2026-06-24,601138,工业富联,3.62,12.88,12.36,4.04,4.05,14.87,14.33,通信设备,1.5
2026-06-25,601138,工业富联,0.27,-1.07,-1.54,-4.95,-5.08,0.26,-0.27,通信设备,1.92
2026-06-26,601138,工业富联,-8.79,-25.5,-26.25,-13.84,-13.94,-23.41,-24.18,通信设备,-6.8
2026-06-29,601138,工业富联,-0.87,-1.67,-1.92,-3.19,-3.21,0.09,-0.14,通信设备,-2.34
2026-06-30,601138,工业富联,3.65,6.14,7.34,6.4,6.51,8.54,9.81,通信设备,4.71
2026-07-01,601138,工业富联,-2.98,-9.48,-10.62,-2.54,-2.59,-8.47,-9.59,通信设备,-3.62
2026-07-02,601138,工业富联,-8.54,-7.81,-8.59,-3.65,-3.9,-6.61,-7.36,通信设备,-7.49
2026-07-03,601138,工业富联,1.09,5.1,5.58,3.0,3.14,4.1,4.62,通信设备,0.28
2026-07-06,601138,工业富联,-1.75,-6.94,-7.11,-9.23,-9.06,-6.38,-6.67,通信设备,-2.77
2026-07-07,601138,工业富联,0.3,2.42,1.66,0.81,0.64,1.62,0.86,通信设备,-0.03
2026-07-08,601138,工业富联,3.5,10.26,9.9,2.18,2.08,9.79,9.36,通信设备,0.37
2026-07-09,601138,工业富联,5.33,9.78,9.68,-0.15,-0.28,11.3,11.25,通信设备,5.69
2026-07-10,601138,工业富联,-4.69,-20.8,-20.89,-8.81,-8.81,-17.47,-17.54,通信设备,-3.72
2026-07-13,601138,工业富联,-4.81,-3.88,-4.12,-1.34,-1.35,-3.2,-3.28,通信设备,-4.18
2026-07-14,601138,工业富联,3.99,2.61,3.18,0.22,0.05,3.25,3.86,通信设备,4.58
2026-07-15,601138,工业富联,-3.02,-8.61,-9.03,-3.85,-3.77,-8.04,-8.35,通信设备,-2.14
2026-07-16,601138,工业富联,-0.94,1.16,1.67,2.62,2.68,0.23,0.72,通信设备,-3.08
2026-07-17,601138,工业富联,-8.62,-8.69,-9.06,-4.76,-4.75,-9.34,-9.73,通信设备,-9.9
2026-06-05,002463,沪电股份,-5.4,-19.01,-19.52,-6.95,-7.16,-15.08,-15.73,元器件,-2.41
2026-06-08,002463,沪电股份,2.84,7.89,8.3,1.96,1.86,8.39,8.57,元器件,-3.85
2026-06-09,002463,沪电股份,2.99,1.92,1.57,-4.48,-4.57,8.54,8.13,元器件,5.33
2026-06-10,002463,沪电股份,-7.43,-19.05,-19.55,-12.29,-12.37,-14.69,-15.27,元器件,-3.84
2026-06-11,002463,沪电股份,-2.83,-0.88,-0.37,-1.27,-1.3,-1.32,-0.83,元器件,-0.3
2026-06-12,002463,沪电股份,-1.35,-5.99,-5.22,-3.22,-3.25,-9.54,-8.64,元器件,-0.49
2026-06-15,002463,沪电股份,6.84,15.16,15.6,5.04,5.14,16.84,17.24,元器件,7.63
2026-06-16,002463,沪电股份,5.14,17.48,18.63,7.2,7.19,15.39,16.45,元器件,3.26
2026-06-17,002463,沪电股份,4.2,7.94,7.73,12.62,12.49,10.45,10.44,元器件,3.85
2026-06-18,002463,沪电股份,0.92,-1.43,-1.34,-1.09,-1.16,-1.86,-1.9,元器件,2.27
2026-06-22,002463,沪电股份,-1.78,-13.38,-13.93,-6.35,-6.38,-11.68,-12.38,元器件,-0.29
2026-06-23,002463,沪电股份,-4.65,-3.1,-4.24,0.0,-0.07,-1.18,-2.29,元器件,-3.97
2026-06-24,002463,沪电股份,3.5,3.63,3.67,3.82,3.79,5.23,5.2,元器件,3.27
2026-06-25,002463,沪电股份,8.12,21.5,23.39,17.07,17.0,23.98,25.89,元器件,3.27
2026-06-26,002463,沪电股份,-4.97,-16.69,-17.73,-9.97,-10.0,-17.58,-18.6,元器件,-3.11
2026-06-29,002463,沪电股份,-4.22,-8.59,-8.65,-4.81,-4.96,-6.61,-6.92,元器件,-2.56
2026-06-30,002463,沪电股份,8.32,20.88,22.94,10.63,10.8,18.6,20.5,元器件,5.05
2026-07-01,002463,沪电股份,-5.1,-12.95,-13.3,-3.4,-3.3,-11.43,-11.81,元器件,-1.81
2026-07-02,002463,沪电股份,-10.0,-22.78,-21.46,-7.73,-7.93,-10.82,-12.78,元器件,-5.86
2026-07-03,002463,沪电股份,3.71,11.48,13.38,3.98,4.03,8.24,10.18,元器件,1.0
2026-07-06,002463,沪电股份,-4.82,-12.82,-11.52,-7.55,-7.48,-12.87,-11.71,元器件,-3.52
2026-07-07,002463,沪电股份,0.69,2.81,2.78,-0.04,0.2,3.95,3.73,元器件,-1.86
2026-07-08,002463,沪电股份,-1.17,-2.28,-2.63,-2.72,-2.9,-2.45,-2.91,元器件,-2.9
2026-07-09,002463,沪电股份,7.1,14.15,13.57,2.29,2.03,13.08,12.38,元器件,5.43
2026-07-10,002463,沪电股份,-5.72,-11.87,-11.13,-1.67,-2.01,-12.35,-11.69,元器件,-3.4
2026-07-13,002463,沪电股份,-3.69,-4.68,-4.93,1.04,0.96,-3.36,-3.62,元器件,-7.34
2026-07-14,002463,沪电股份,10.0,47.73,41.99,11.53,11.55,3.18,9.42,元器件,4.62
2026-07-15,002463,沪电股份,0.07,5.56,5.53,0.25,0.11,-1.51,-1.61,元器件,-3.45
2026-07-16,002463,沪电股份,-0.37,-0.64,-2.03,5.5,5.22,3.49,1.86,元器件,-2.16
2026-07-17,002463,沪电股份,-6.52,-18.21,-18.5,-9.38,-9.22,-15.19,-15.8,元器件,-8.23
2026-06-05,600584,长电科技,-5.54,-11.4,-11.74,-2.62,-2.63,-13.13,-13.47,半导体,-4.28
2026-06-08,600584,长电科技,-7.08,-5.43,-5.2,-0.86,-0.92,-3.02,-2.67,半导体,-4.46
2026-06-09,600584,长电科技,7.11,8.46,8.1,0.39,0.33,8.48,8.05,半导体,5.48
2026-06-10,600584,长电科技,-1.65,-2.83,-3.34,-1.2,-1.27,-4.4,-4.92,半导体,-0.55
2026-06-11,600584,长电科技,-2.84,-5.07,-3.99,-2.87,-2.87,-6.12,-5.0,半导体,1.38
