code,name,board,issue_price,latest,first_close,apply_date,list_date,issue_pe,industry_pe,first_close_gt_latest,latest_vs_first_close_pct,first_close_vs_issue_pct,latest_vs_issue_pct,list_year
603696,安记食品,非科创板,10.1,11.97,14.54,2015-12-01,2015-12-09,22.95,45.31,True,-17.67537826685006,43.96039603960396,18.514851485148533,2015
603398,*ST沐邦,非科创板,13.97,14.98,20.12,2015-12-01,2015-12-09,22.99,105.63,True,-25.54671968190855,44.02290622763063,7.2297780959198255,2015
300493,润欣科技,非科创板,6.87,14.26,9.89,2015-12-01,2015-12-10,22.97,117.04,False,44.18604651162789,43.95924308588064,107.56914119359533,2015
002780,三夫户外,非科创板,9.42,12.63,13.56,2015-12-01,2015-12-09,22.95,44.52,True,-6.858407079646012,43.949044585987274,34.076433121019114,2015
002779,中坚科技,非科创板,12.11,80.17,17.44,2015-12-01,2015-12-09,18.97,80.75,False,359.690366972477,44.01321222130472,562.0148637489679,2015
002783,凯龙股份,非科创板,28.68,7.36,41.3,2015-11-30,2015-12-09,22.98,49.06,True,-82.17917675544794,44.00278940027893,-74.33751743375174,2015
300488,恒锋工具,非科创板,20.11,47.15,28.96,2015-06-23,2015-07-01,19.3,74.23,False,62.810773480662974,44.00795624067628,134.46046742913973,2015
300480,光力科技,非科创板,7.28,42.9,10.48,2015-06-23,2015-07-02,22.99,104.89,False,309.3511450381679,43.956043956043956,489.2857142857142,2015
603979,金诚信,非科创板,17.19,61.7,24.75,2015-06-19,2015-06-30,22.98,33.75,False,149.2929292929293,43.97905759162302,258.92961023851075,2015
603223,恒通股份,非科创板,8.31,13.46,11.97,2015-06-19,2015-06-30,22.97,31.39,False,12.447786131996663,44.04332129963899,61.97352587244285,2015
603085,天成自控,非科创板,7.27,11.13,10.47,2015-06-19,2015-06-30,22.98,114.67,False,6.303724928366772,44.0165061898212,53.09491059147182,2015
300489,光智科技,非科创板,17.56,289.0,25.29,2015-06-19,2015-07-01,22.97,95.73,False,1042.7441676551996,44.02050113895217,1545.7858769931665,2015
300487,蓝晓科技,非科创板,14.83,67.67,21.36,2015-06-19,2015-07-02,20.32,64.87,False,216.80711610486892,44.0323668240054,356.30478759271745,2015
300486,东杰智能,非科创板,8.94,21.66,12.87,2015-06-19,2015-06-30,22.96,114.67,False,68.2983682983683,43.95973154362416,142.2818791946309,2015
300482,万孚生物,非科创板,16.0,17.03,23.04,2015-06-19,2015-06-30,18.56,68.98,True,-26.085069444444443,43.99999999999999,6.437500000000007,2015
300481,濮阳惠成,非科创板,9.13,20.48,13.15,2015-06-19,2015-06-30,22.95,64.87,False,55.74144486692014,44.03066812705365,124.31544359255201,2015
603838,*ST四通,非科创板,7.73,9.17,11.13,2015-06-18,2015-07-01,22.96,40.76,True,-17.610062893081768,43.984476067270386,18.628719275549788,2015
