code,name,trade,float_cap_yi,float_shares,turnoverratio
600556,天下秀,4.24,76.6485000208,1807747642.0,2.932
600557,康缘药业,13.28,75.1858894368,566158806.0,3.44766
600558,大西洋,4.77,42.8157504387,897604831.0,1.29748
600559,老白干酒,11.76,107.57429941440002,914747444.0000001,2.30666
600562,国睿科技,21.15,262.65293316000003,1241857840.0,0.7993
600563,法拉电子,131.55,295.9875,224999999.99999997,2.53305
600566,济川药业,25.87,237.647345832,918621360.0,1.05496
600567,山鹰国际,1.36,85.7813649616,6307453305.999999,0.98339
600569,安阳钢铁,1.75,50.267374255,2872421386.0,0.9629
600570,恒生电子,20.85,394.825595907,1893647941.9999998,1.35506
600571,信雅达,9.57,43.8068379771,457751703.0,1.56703
600572,康恩贝,4.36,110.3860517608,2531790178.0,3.4135
600575,淮河能源,3.18,123.583101867,3886261064.9999995,1.23351
600576,祥源文旅,6.14,40.5479510962,660390083.0,2.32222
600577,精达股份,7.9,170.618240635,2159724565.0,2.72563
600578,京能电力,5.76,385.610170464,6694621015.000001,1.2658
600579,中化装备,6.98,34.453332978199995,493600758.99999994,3.49011
600580,卧龙电驱,31.44,489.71966145839997,1557632510.9999998,1.67876
600582,天地科技,4.81,199.0661257052,4138588892.0000005,0.52942
600583,海油工程,5.35,236.5424818,4421354800.0,0.85179
600585,海螺水泥,17.65,702.021697766,3977460044.0000005,1.22464
600586,金晶科技,4.03,57.11870931000001,1417337700.0000002,0.96879
600587,新华医疗,12.72,77.1651866328,606644549.0,1.74206
600588,用友网络,9.31,318.1224587779,3416997409.0,1.40934
600589,大位科技,7.59,112.215864651,1478469890.0,5.40014
600590,泰豪科技,8.3,70.016270409,843569523.0,2.86043
600592,龙溪股份,13.45,53.739955299500004,399553571.00000006,2.04398
600593,大连圣亚,38.76,49.92288,128800000.0,4.40404
600595,中孚实业,6.46,258.9106703644,4007905114.0,4.38296
600596,新安股份,11.67,157.49797561830002,1349597049.0,3.60674
600597,光明乳业,6.78,93.4592736114,1378455362.9999998,0.96327
600598,北大荒,11.56,205.4997974804,1777679909.0,1.42919
600600,青岛啤酒,54.94,389.5937930842,709125943.0,1.44871
600601,方正科技,11.71,488.34134390770004,4170293287.0,5.68756
600602,云赛智联,16.6,178.33429634,1074302990.0,3.04623
600603,广汇物流,4.49,52.7998295199,1175942751.0,0.9386
600604,市北高新,4.2,59.11310176800001,1407454804.0,1.08947
600605,汇通能源,26.83,55.3455757007,206282429.00000003,0.80458
